"","URN","Local.authority","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","matched"
"1","SC399222","WEST SUSSEX","Local Authority",3,"West Sussex County Council","11/08/2009",NA,NA,1
"2","1258887","WOLVERHAMPTON","Individual owned",4,"Friends & Co Limited","12/01/2018",NA,NA,1
"3","1242116","KNOWSLEY","Local Authority",4,"Knowsley Metropolitan Borough Council","31/10/2016","low-overspend",NA,1
"4","1244000","TELFORD AND WREKIN","Investment owned",5,"CareTech Community Services Limited","30/09/2016",NA,NA,1
"5","2503306","LINCOLNSHIRE","Corporate owned",6,"Unique Care Homes Support Limited","29/05/2019","low-overspend","low-outsourcing",1
"6","SC005066","STAFFORDSHIRE","Corporate owned",2,"The Partnership Of Care Today","27/01/2002",NA,NA,1
"7","SC036019","DERBY","Local Authority",5,"Derby City Council","17/03/2004",NA,"high-outsourcing",1
"8","SC375911","STAFFORDSHIRE","Local Authority",6,"Staffordshire County Council","29/05/2008",NA,NA,1
"9","SC390577","ROCHDALE","Corporate owned",3,"Meadows Care Limited","31/03/2009",NA,"low-outsourcing",1
"10","SC411832","REDBRIDGE","Corporate owned",4,"Tulip Care Two Limited","27/01/2011",NA,"high-outsourcing",1
"11","SC446003","CUMBRIA","Third sector",4,"Carlisle Mencap Ltd","05/10/2012",NA,NA,1
"12","SC454035","KNOWSLEY","Corporate owned",5,"Lytham Care Ltd","24/12/2012","low-overspend",NA,1
"13","SC457013","SANDWELL","Individual owned",3,"Motivations Activity Projects Ltd","23/11/2012",NA,NA,1
"14","SC457621","NORTHAMPTONSHIRE","Investment owned",4,"Cambian Childcare Ltd","04/04/2013",NA,NA,NA
"15","SC465079","MIDDLESBROUGH","Investment owned",1,"Cambian Childcare Ltd","08/07/2013","high-overspend",NA,1
"16","SC476267","SHROPSHIRE","Investment owned",5,"Cambian Childcare Ltd","06/03/2014","high-overspend",NA,1
"17","SC482340","KNOWSLEY","Corporate owned",1,"Lytham Care Ltd","03/12/2014","low-overspend",NA,1
"18","SC487794","SHROPSHIRE","Investment owned",3,"Physis Quantum","17/04/2015","high-overspend",NA,1
"19","SC457621","NORTHAMPTONSHIRE","Investment owned",2,"Cambian Childcare Ltd","04/04/2013",NA,NA,NA
"20","1280478","STAFFORDSHIRE","Corporate owned",2,"Inspire Care (UK) Limited","23/11/2019",NA,NA,1
"21","SC487794","SHROPSHIRE","Investment owned",3,"Physis Quantum Limited","17/04/2015","high-overspend",NA,1
"22","1258887","WOLVERHAMPTON","Individual owned",4,"Friends & Co Limited","12/01/2018",NA,NA,1
"23","2571480","ESSEX","Corporate owned",5,"Pss Care Group Limited","27/01/2020",NA,NA,1
"24","2580890","SOMERSET","Individual owned",2,"Idem Living Ltd","29/04/2020",NA,NA,1
"25","2591643","STAFFORDSHIRE","Individual owned",3,"Albrighton Care Ltd","05/01/2021",NA,NA,1
"26","2599480","STOKE ON TRENT","Investment owned",4,"Cambian Childcare Ltd","15/09/2020",NA,NA,1
"27","2537322","NEWCASTLE UPON TYNE","Local Authority",1,"Newcastle City Council","17/10/2019","low-overspend","low-outsourcing",1
"28","1155775","MANCHESTER","Investment owned",1,"Cambian Childcare Limited","24/09/2015",NA,NA,1
"29","1159272","NORTH YORKSHIRE","Investment owned",4,"Cambian Childcare Limited","07/10/2015","low-overspend","low-outsourcing",1
"30","1159385","SHROPSHIRE","Investment owned",4,"Cambian Childcare Limited","14/06/2016","high-overspend",NA,1
"31","1159755","EALING","Third sector",4,"St Christopher's Fellowship","02/10/2015",NA,NA,1
"32","1185488","READING","Individual owned",4,"Kennet Care Limited","30/11/2015",NA,"high-outsourcing",1
"33","1212117","NOTTINGHAMSHIRE","Investment owned",3,"Pathway Care Solutions Ltd 04004053","01/12/2015",NA,"high-outsourcing",1
"34","1212708","NOTTINGHAM","Investment owned",3,"Pathway Care Solutions Ltd 04004053","09/12/2015",NA,NA,1
"35","1214396","HEREFORDSHIRE","Individual owned",2,"River Valley Care Ltd","13/01/2016","high-overspend",NA,1
"36","1223201","LEEDS","Local Authority",4,"Leeds City Council","10/12/2015",NA,"low-outsourcing",1
"37","1225136","LANCASHIRE","Investment owned",4,"Cambian Childcare Limited","18/05/2016","low-overspend",NA,1
"38","1225371","WARRINGTON","Corporate owned",2,"Break","27/04/2016",NA,NA,1
"39","1227869","WALSALL","Investment owned",5,"Compass Childrens Homes Limited","17/10/2016",NA,NA,1
"40","1231405","LANCASHIRE","Local Authority",6,"Lancashire County Council","04/02/2016","low-overspend",NA,1
"41","1231525","EAST RIDING OF YORKSHIRE","Investment owned",1,"Cambian Childcare Limited","14/04/2016",NA,NA,1
"42","1231812","BIRMINGHAM","Corporate owned",4,"Meadows Care Limited","09/09/2016","low-overspend",NA,1
"43","1232657","SOLIHULL","Investment owned",4,"Compass Childrens Homes Limited","11/02/2017","high-overspend",NA,1
"44","1236387","HAMPSHIRE","Investment owned",4,"Aspris Children's Services Limited","19/05/2016",NA,NA,1
"45","1240572","LANCASHIRE","Investment owned",4,"Sandcastle Care Ltd","28/11/2016","low-overspend",NA,1
"46","1240573","LANCASHIRE","Investment owned",4,"Sandcastle Care Ltd","01/12/2016","low-overspend",NA,1
"47","1241789","LEICESTERSHIRE","Investment owned",3,"Horizon Care and Education Group Limited","23/08/2016","low-overspend",NA,1
"48","1241970","CUMBRIA","Investment owned",2,"Sandcastle Care Ltd","09/01/2017",NA,NA,1
"49","1246449","HAMPSHIRE","Individual owned",5,"New Forest Care","09/02/2017",NA,NA,1
"50","1247384","HAMPSHIRE","Individual owned",2,"Solent Childcare LTD","06/10/2016",NA,NA,1
"51","1247773","MANCHESTER","Investment owned",5,"Keys Group Progressive Care & Education Limited","30/11/2016",NA,NA,1
"52","1249715","HAMPSHIRE","Investment owned",4,"Aspris Children's Services Limited","11/04/2017",NA,NA,1
"53","1250196","DONCASTER","Corporate owned",2,"First 4 Care Ltd","04/05/2017",NA,NA,1
"54","1250931","EAST SUSSEX","Investment owned",6,"Compass Childrens Homes Limited","22/02/2017","high-overspend",NA,1
"55","1251073","MANCHESTER","Local Authority",5,"Manchester City Council","24/02/2017",NA,NA,1
"56","1253716","WEST SUSSEX","Investment owned",4,"Compass Childrens Homes Limited","22/02/2017",NA,NA,1
"57","1254745","NOTTINGHAM","Corporate owned",5,"Homes 2 Inspire Limited","24/05/2017",NA,NA,1
"58","1254782","HAMPSHIRE","Local Authority",4,"Hampshire County Council","09/06/2017",NA,NA,1
"59","1254840","WOLVERHAMPTON","Investment owned",3,"Compass Childrens Homes Limited","05/01/2018",NA,NA,1
"60","1255744","WORCESTERSHIRE","Corporate owned",3,"Homes 2 Inspire Limited","24/05/2017",NA,NA,1
"61","1255746","BEDFORD","Corporate owned",5,"Homes 2 Inspire Limited","24/05/2017",NA,"high-outsourcing",1
"62","1255748","NOTTINGHAM","Corporate owned",5,"Homes 2 Inspire Limited","24/05/2017",NA,NA,1
"63","1256058","OXFORDSHIRE","Corporate owned",5,"Homes 2 Inspire Limited","24/05/2017",NA,NA,1
"64","1256608","DONCASTER","Corporate owned",3,"First 4 Care Ltd","04/07/2017",NA,NA,1
"65","1256610","NOTTINGHAM","Corporate owned",3,"Homes 2 Inspire Limited","24/05/2017",NA,NA,1
"66","1256638","STAFFORDSHIRE","Investment owned",3,"Reflexion Care Group Limited","24/10/2017",NA,NA,1
"67","1257074","HEREFORDSHIRE","Investment owned",8,"Branas Isaf (holdings) Limited","10/10/2017","high-overspend",NA,1
"68","1258894","LEICESTER","Corporate owned",6,"Happy Children Home Limited","03/08/2017",NA,NA,1
"69","1268518","PLYMOUTH","Investment owned",2,"South West Childcare Services","30/11/2017",NA,NA,1
"70","1269966","BARKING AND DAGENHAM","Individual owned",5,"Restoration Care & Services Limited","16/02/2018",NA,NA,1
"71","1270298","STAFFORDSHIRE","Individual owned",4,"Nurture Me Psychological Services Limited","22/05/2018",NA,NA,1
"72","1271380","BUCKINGHAMSHIRE","Third sector",6,"Action for Children","25/07/2018",NA,NA,1
"73","1271383","NOTTINGHAM","Third sector",3,"YMCA ROBIN HOOD GROUP","30/04/2018",NA,NA,1
"74","1274670","STAFFORDSHIRE","Investment owned",2,"Esland North Limited","25/04/2018",NA,NA,1
"75","1275189","LEEDS","Investment owned",1,"Pebbles Care Limited","07/07/2018",NA,"low-outsourcing",1
"76","1275500","EAST SUSSEX","Individual owned",2,"Headstart Residential Care Ltd","04/09/2018","high-overspend",NA,1
"77","1277079","CALDERDALE","Individual owned",2,"Restorative Social Care Services Ltd","16/04/2018","high-overspend",NA,1
