"","Local.authority","budget_21","budget_22","budget_23","spend_21","spend_22","spend_23","overspend_21","overspend_22","overspend_23","mean_overspend"
"1","BATH AND NORTH EAST SOMERSET",33853,33244,36678,34306,40424,43168,1.338138422001,21.59788232463,17.6945307813948,13.5435171760086
"2","BRISTOL",83334,88008,104472,90895,115034,133937,9.07312741498068,30.7085719480047,28.2037292288843,22.6618095306232
"3","SOUTH GLOUCESTERSHIRE",40850,47664,56051,41116,59535,57577,0.651162790697674,24.9055891238671,2.72252056163137,9.42642415873204
"4","NORTH SOMERSET",29504,29973,37135,28338,35792,45943,-3.95200650759219,19.4141393921196,23.7188636057628,13.06033216343
"5","LUTON",53236,49707,53892,52651,54240,62035,-1.09888045683372,9.119439917919,15.1098493282862,7.71013626312383
"6","BEDFORD",38906,42153,51364,41841,51956,56058,7.54382357476996,23.2557587834792,9.13869636321159,13.3127595738203
"7","CENTRAL BEDFORDSHIRE",41133,39633,48527,47603,55459,65887,15.7294629616123,39.9313703227109,35.7738990664991,30.4782441169408
"8","BRACKNELL FOREST",24992,25374,27482,24370,27658,32946,-2.48879641485275,9.00133995428391,19.8821046503166,8.79821606324924
"9","WEST BERKSHIRE",23687,26180,30761,26403,33448,40260,11.4662050914003,27.7616501145913,30.8800104027827,23.3692885362581
"10","READING",48242,45207,48128,43474,51743,57699,-9.88350400066332,14.4579379299666,19.8865525265957,8.15366215196634
"11","WINDSOR AND MAIDENHEAD",20302,21604,21368,21465,25761,27958,5.72849965520638,19.2418070727643,30.8405091725945,18.6036053001884
"12","WOKINGHAM",22534,24416,27909,25352,29520,35765,12.5055471731606,20.9043250327654,28.1486258912895,20.5194993657385
"13","MILTON KEYNES",46355,49346,54212,50322,54350,63146,8.55786862258656,10.140639565517,16.4797461816572,11.7260847899202
"14","BUCKINGHAMSHIRE",94711,93457,134957,95023,110013,129429,0.329423192659776,17.7150989224991,-4.09611950473114,4.64946753680925
"15","PETERBOROUGH",49764,49956,56042,42783,50737,60394,-14.0282131661442,1.5633757706782,7.76560436815246,-1.56641100910452
"16","CAMBRIDGESHIRE",91545,100050,102904,89866,91365,104491,-1.83407067562401,-8.68065967016492,1.54221410246443,-2.99083874777483
"17","HALTON",29689,33122,37871,37818,47354,53541,27.3805113004817,42.9684197814142,41.377307174355,37.2420794187503
"18","WARRINGTON",40400,38403,43308,38538,44226,52705,-4.60891089108911,15.162877900164,21.698069640713,10.7506788832627
"19","CHESHIRE EAST",60035,64907,71635,71422,75588,84387,18.9672690930291,16.4558522193292,17.8013540866895,17.7414917996826
"20","CHESHIRE WEST AND CHESTER",59346,58897,74789,61262,72206,89825,3.22852424763253,22.5970762517615,20.1045608311383,15.3100537768441
"21","HARTLEPOOL",28123,27385,32584,28146,33108,40682,0.0817835934999822,20.8983019901406,24.8526884360422,15.2775913398943
"22","MIDDLESBROUGH",48948,44031,63724,59406,64074,68244,21.3655307673449,45.5202016760918,7.09308894607997,24.6596071298389
"23","REDCAR AND CLEVELAND",30802,33003,38563,35236,43546,50771,14.3951691448607,31.9455807047844,31.6572880740606,25.9993459745686
"24","STOCKTON ON TEES",45047,49759,55965,51702,58962,65482,14.7734588318867,18.495146606644,17.0052711516126,16.7579588633811
"25","CORNWALL",67990,78153,89949,86828,83947,117505,27.7070157376085,7.41366294320116,30.635137689135,21.9186054566482
"26","CUMBRIA",85615,91790,NA,85263,110514,NA,-0.411142907200841,20.3987362457784,NA,9.99379666928878
"27","DERBY",67354,71508,77649,80359,85104,87175,19.3084300858152,19.0132572579292,12.2680266326675,16.8632379921373
"28","DERBYSHIRE",104583,126954,143269,144090,166381,189643,37.7757379306388,31.056130566977,32.368481667353,33.7334500549896
"29","PLYMOUTH",57541,66938,64852,67712,76781,83401,17.6760918301733,14.704652066091,28.6020477394683,20.3275972119109
"30","TORBAY",46678,44944,53222,46419,47907,54134,-0.55486524701144,6.59264862940548,1.71357709217993,2.58378682485799
"31","DEVON",134902,152745,179749,158119,183690,192176,17.2102711598049,20.2592556221153,6.91352942158232,14.7943520678342
"32","DORSET",61357,63672,67407,74409,79660,88133,21.2722264778265,25.1099384344767,30.7475484741941,25.7099044621658
"33","BOURNEMOUTH CHRISTCHURCH AND POOLE",71567,79736,87291,82119,89853,104924,14.7442256906116,12.6881207986355,20.2002497393775,15.8775320762082
"34","DARLINGTON",27893,28758,32378,28983,32880,38257,3.90779048506794,14.3334028791988,18.1573908209278,12.1328613950649
"35","COUNTY DURHAM",94648,102612,132712,103536,124037,144663,9.3905840588285,20.8796242154914,9.00521429863162,13.0918075243172
"36","BRIGHTON AND HOVE",57671,62170,66701,64199,68505,70942,11.3193806245773,10.1898021553804,6.35822551386036,9.28913609793937
"37","EAST SUSSEX",83786,93362,105864,101045,117879,146643,20.5989067385959,26.2601486686232,38.5201768306506,28.4597440792899
"38","SOUTHEND ON SEA",35652,37146,39747,38550,47990,48244,8.12857623695725,29.1929144457007,21.3777140413113,19.5664015746564
"39","THURROCK",44580,44599,47853,48320,47983,52282,8.38941229250785,7.5876140720644,9.25542808183395,8.41081814880206
"40","ESSEX",161166,170634,193131,190150,213351,239864,17.983942022511,25.0342839059039,24.197565383082,22.4052637704989
"41","HARLOW",254,319,319,209,207,250,-17.7165354330709,-35.1097178683386,-21.6300940438871,-24.8187824484322
"42","GLOUCESTERSHIRE",127756,138287,151282,144568,175784,185385,13.1594602210464,27.1153470680541,22.5426686585317,20.9391586492107
"43","PORTSMOUTH",45002,47968,54017,49370,50060,57622,9.70623527843207,4.36124082721815,6.67382490697373,6.91376700420798
"44","SOUTHAMPTON",57494,60130,65723,66082,74011,71911,14.9372108393919,23.0849825378347,9.41527319203323,15.81248885642
"45","HAMPSHIRE",202016,232931,286709,219947,253399,290644,8.87602962141613,8.78715155990401,1.37247173963845,6.34521764031953
"46","HEREFORDSHIRE",39783,45165,54883,51761,69074,68750,30.1083377321972,52.9370087457102,25.2664759579469,36.1039408119514
"47","WORCESTERSHIRE",85348,104038,107356,103012,111121,145468,20.6964427988939,6.80808935196755,35.5005775177913,21.0017032228843
"48","HERTFORDSHIRE",180042,188670,224983,197726,216230,233785,9.82215260883572,14.6075157682726,3.91229559566723,9.44732132425853
"49","EAST RIDING OF YORKSHIRE",45459,50991,55804,49731,59470,70646,9.39747904705339,16.6284246239532,26.5966597376532,17.5408544695533
"50","KINGSTON UPON HULL",74070,78341,87452,86968,90770,93432,17.4132577291751,15.8652557409275,6.83803686593789,13.3721834453468
"51","NORTH EAST LINCOLNSHIRE",36381,42413,56607,51726,72583,66042,42.1786097138616,71.1338504703747,16.6675499496529,43.3266700446297
"52","NORTH LINCOLNSHIRE",31239,31538,34345,28744,31044,34336,-7.98681135759787,-1.56636438582028,-0.0262046877274713,-3.19312681038188
"53","ISLE OF WIGHT",28991,27517,34741,29634,35900,39236,2.21792970232141,30.4648035759712,12.9386028036038,15.2071120272988
"54","KENT",252820,265414,299643,260664,285779,322301,3.10260264219603,7.6729185348173,7.56166504807388,6.1123954083624
"55","SEVENOAKS",58,74,66,54,67,68,-6.89655172413793,-9.45945945945946,3.03030303030303,-4.44190271776479
"56","BLACKBURN WITH DARWEN",33395,36693,42363,36574,41836,45099,9.5193891301093,14.0162973864225,6.45846611429785,9.99805087694321
"57","BLACKPOOL",61796,60354,65002,65298,72198,79589,5.66703346494919,19.6242171189979,22.4408479739085,15.9106995192852
"58","LANCASHIRE",236546,245413,271463,223776,267649,284968,-5.39852713637094,9.06064470912299,4.97489528959748,2.87900428744984
